samples	cluster	frac_cluster	max_frac	analysis_type	K
EG4347	A	0.56624	0.56624	GATK-STRELKA_Intersection	4
JU3128	A	0.431303	0.568677	GATK-STRELKA_Intersection	4
JU1395	A	0.56956	0.56956	GATK-STRELKA_Intersection	4
JU360	A	0.571872	0.571872	GATK-STRELKA_Intersection	4
QG2875	A	0.575195	0.575195	GATK-STRELKA_Intersection	4
NIC260	A	0.360334	0.575725	GATK-STRELKA_Intersection	4
NIC255	A	0.420854	0.579126	GATK-STRELKA_Intersection	4
XZ2018	A	0.584311	0.584311	GATK-STRELKA_Intersection	4
NIC268	A	0.413902	0.586078	GATK-STRELKA_Intersection	4
JU2838	A	0.586112	0.586112	GATK-STRELKA_Intersection	4
MY2212	A	0.587328	0.587328	GATK-STRELKA_Intersection	4
ECA369	A	0.003838	0.588914	GATK-STRELKA_Intersection	4
QG2827	A	0.592132	0.592132	GATK-STRELKA_Intersection	4
NIC236	A	0.593071	0.593071	GATK-STRELKA_Intersection	4
JU561	A	0.596146	0.596146	GATK-STRELKA_Intersection	4
NIC259	A	0.375368	0.60179	GATK-STRELKA_Intersection	4
QG2075	A	0.602356	0.602356	GATK-STRELKA_Intersection	4
JU2581	A	0.603959	0.603959	GATK-STRELKA_Intersection	4
JT11398	A	0.391545	0.608435	GATK-STRELKA_Intersection	4
JU310	A	0.389311	0.610669	GATK-STRELKA_Intersection	4
MY795	A	0.610865	0.610865	GATK-STRELKA_Intersection	4
NIC256	A	0.384089	0.611905	GATK-STRELKA_Intersection	4
JU258	A	0.091282	0.614148	GATK-STRELKA_Intersection	4
QW947	A	0.61419	0.61419	GATK-STRELKA_Intersection	4
JU323	A	0.615813	0.615813	GATK-STRELKA_Intersection	4
PB306	A	0.618472	0.618472	GATK-STRELKA_Intersection	4
JU2587	A	0.623363	0.623363	GATK-STRELKA_Intersection	4
NIC529	A	0.625501	0.625501	GATK-STRELKA_Intersection	4
XZ2020	A	0.627833	0.627833	GATK-STRELKA_Intersection	4
JU2811	A	0.628062	0.628062	GATK-STRELKA_Intersection	4
JU1530	A	0.365946	0.634034	GATK-STRELKA_Intersection	4
JU2829	A	0.637484	0.637484	GATK-STRELKA_Intersection	4
NIC523	A	0.63829	0.63829	GATK-STRELKA_Intersection	4
ECA923	A	0.640898	0.640898	GATK-STRELKA_Intersection	4
JU2478	A	0.641573	0.641573	GATK-STRELKA_Intersection	4
CB4852	A	0.644298	0.644298	GATK-STRELKA_Intersection	4
NIC522	A	0.353446	0.646534	GATK-STRELKA_Intersection	4
NIC511	A	0.352406	0.647574	GATK-STRELKA_Intersection	4
NIC271	A	0.293667	0.647915	GATK-STRELKA_Intersection	4
AB1	A	0.35058	0.6494	GATK-STRELKA_Intersection	4
ECA592	A	0.350276	0.649704	GATK-STRELKA_Intersection	4
JU2519	A	0.202381	0.652297	GATK-STRELKA_Intersection	4
NIC199	A	0.054655	0.654886	GATK-STRELKA_Intersection	4
XZ1515	A	0.203801	0.659567	GATK-STRELKA_Intersection	4
CX11315	A	0.660579	0.660579	GATK-STRELKA_Intersection	4
JU2017	A	0.664283	0.664283	GATK-STRELKA_Intersection	4
JU2007	A	0.664335	0.664335	GATK-STRELKA_Intersection	4
JU3127	A	0.66717	0.66717	GATK-STRELKA_Intersection	4
NIC515	A	0.668809	0.668809	GATK-STRELKA_Intersection	4
ED3012	A	0.329837	0.670143	GATK-STRELKA_Intersection	4
JU2853	A	0.67219	0.67219	GATK-STRELKA_Intersection	4
JU751	A	0.673186	0.673186	GATK-STRELKA_Intersection	4
NIC277	A	0.3263	0.67368	GATK-STRELKA_Intersection	4
CX11254	A	0.67424	0.67424	GATK-STRELKA_Intersection	4
ED3017	A	0.324064	0.675916	GATK-STRELKA_Intersection	4
CX11285	A	0.67687	0.67687	GATK-STRELKA_Intersection	4
JU2522	A	0.678179	0.678179	GATK-STRELKA_Intersection	4
ECA640	A	0.679399	0.679399	GATK-STRELKA_Intersection	4
MY10	A	0.679866	0.679866	GATK-STRELKA_Intersection	4
JU3137	A	0.266126	0.681912	GATK-STRELKA_Intersection	4
JU1491	A	0.313732	0.686248	GATK-STRELKA_Intersection	4
JU3280	A	0.688775	0.688775	GATK-STRELKA_Intersection	4
QG2811	A	0.306991	0.692989	GATK-STRELKA_Intersection	4
JU847	A	0.306517	0.693463	GATK-STRELKA_Intersection	4
CX11307	A	0.693554	0.693554	GATK-STRELKA_Intersection	4
QG556	A	0.306244	0.693736	GATK-STRELKA_Intersection	4
MY16	A	0.067621	0.701231	GATK-STRELKA_Intersection	4
QG2828	A	0.701299	0.701299	GATK-STRELKA_Intersection	4
QG2838	A	0.703304	0.703304	GATK-STRELKA_Intersection	4
MY2535	A	0.705295	0.705295	GATK-STRELKA_Intersection	4
QX1791	A	0.007645	0.705677	GATK-STRELKA_Intersection	4
QX1212	A	0.70789	0.70789	GATK-STRELKA_Intersection	4
ECA594	A	0.288282	0.711698	GATK-STRELKA_Intersection	4
JU346	A	0.287851	0.712129	GATK-STRELKA_Intersection	4
NIC262	A	0.171429	0.712264	GATK-STRELKA_Intersection	4
WN2063	A	0.712987	0.712987	GATK-STRELKA_Intersection	4
NIC274	A	0.713801	0.713801	GATK-STRELKA_Intersection	4
JU642	A	0.280663	0.715129	GATK-STRELKA_Intersection	4
JU1200	A	0.284787	0.715193	GATK-STRELKA_Intersection	4
JU2576	A	0.178597	0.717424	GATK-STRELKA_Intersection	4
PS2025	A	0.277646	0.722334	GATK-STRELKA_Intersection	4
QG557	A	0.722618	0.722618	GATK-STRELKA_Intersection	4
QG2877	A	0.723937	0.723937	GATK-STRELKA_Intersection	4
JU2906	A	0.273888	0.726092	GATK-STRELKA_Intersection	4
QX1792	A	0.229482	0.728276	GATK-STRELKA_Intersection	4
ECA348	A	0.268582	0.731398	GATK-STRELKA_Intersection	4
MY2741	A	0.732596	0.732596	GATK-STRELKA_Intersection	4
JU1543	A	0.263863	0.736117	GATK-STRELKA_Intersection	4
CX11314	A	0.736237	0.736237	GATK-STRELKA_Intersection	4
JU3225	A	0.737164	0.737164	GATK-STRELKA_Intersection	4
WN2064	A	0.262035	0.737945	GATK-STRELKA_Intersection	4
JU1409	A	0.738168	0.738168	GATK-STRELKA_Intersection	4
QG2832	A	0.73921	0.73921	GATK-STRELKA_Intersection	4
JU2862	A	0.740628	0.740628	GATK-STRELKA_Intersection	4
JU3125	A	0.741041	0.741041	GATK-STRELKA_Intersection	4
XZ1735	A	0.741321	0.741321	GATK-STRELKA_Intersection	4
DL200	A	0.257715	0.742265	GATK-STRELKA_Intersection	4
NIC261	A	0.117932	0.743504	GATK-STRELKA_Intersection	4
JU367	A	0.254997	0.744983	GATK-STRELKA_Intersection	4
NIC528	A	0.745156	0.745156	GATK-STRELKA_Intersection	4
JU2234	A	0.252537	0.747443	GATK-STRELKA_Intersection	4
JU1249	A	0.247878	0.752102	GATK-STRELKA_Intersection	4
JU775	A	0.058865	0.753639	GATK-STRELKA_Intersection	4
NIC1119	A	0.762374	0.762374	GATK-STRELKA_Intersection	4
NIC251	A	1e-05	0.766897	GATK-STRELKA_Intersection	4
NIC265	A	1e-05	0.77178	GATK-STRELKA_Intersection	4
JU3228	A	0.773354	0.773354	GATK-STRELKA_Intersection	4
JU3144	A	0.779552	0.779552	GATK-STRELKA_Intersection	4
JU1793	A	1e-05	0.780582	GATK-STRELKA_Intersection	4
ECA349	A	0.781491	0.781491	GATK-STRELKA_Intersection	4
JU2464	A	0.781615	0.781615	GATK-STRELKA_Intersection	4
QG2837	A	0.783021	0.783021	GATK-STRELKA_Intersection	4
JU2513	A	0.789226	0.789226	GATK-STRELKA_Intersection	4
BRC20263	A	0.794489	0.794489	GATK-STRELKA_Intersection	4
MY2530	A	0.805538	0.805538	GATK-STRELKA_Intersection	4
JU3224	A	0.805586	0.805586	GATK-STRELKA_Intersection	4
DL226	A	0.807895	0.807895	GATK-STRELKA_Intersection	4
JU2866	A	0.808606	0.808606	GATK-STRELKA_Intersection	4
JU2316	A	1e-05	0.808748	GATK-STRELKA_Intersection	4
ED3052	A	0.809443	0.809443	GATK-STRELKA_Intersection	4
NIC501	A	1e-05	0.812714	GATK-STRELKA_Intersection	4
QG2835	A	0.814959	0.814959	GATK-STRELKA_Intersection	4
MY2453	A	0.184983	0.814997	GATK-STRELKA_Intersection	4
JU2106	A	1e-05	0.821577	GATK-STRELKA_Intersection	4
NIC527	A	0.177671	0.822309	GATK-STRELKA_Intersection	4
QG2836	A	0.822403	0.822403	GATK-STRELKA_Intersection	4
NIC242	A	0.174315	0.825665	GATK-STRELKA_Intersection	4
QG2841	A	0.827685	0.827685	GATK-STRELKA_Intersection	4
JU1896	A	0.171663	0.828317	GATK-STRELKA_Intersection	4
QG2813	A	0.829236	0.829236	GATK-STRELKA_Intersection	4
JU440	A	0.170519	0.829461	GATK-STRELKA_Intersection	4
ED3046	A	0.832552	0.832552	GATK-STRELKA_Intersection	4
ED3049	A	0.836526	0.836526	GATK-STRELKA_Intersection	4
LSJ1	A	0.163176	0.836804	GATK-STRELKA_Intersection	4
QG2855	A	0.83742	0.83742	GATK-STRELKA_Intersection	4
N2	A	0.162183	0.837796	GATK-STRELKA_Intersection	4
QX1233	A	0.840925	0.840925	GATK-STRELKA_Intersection	4
WN2050	A	1e-05	0.849526	GATK-STRELKA_Intersection	4
QG2874	A	0.853825	0.853825	GATK-STRELKA_Intersection	4
JU2131	A	0.089983	0.85408	GATK-STRELKA_Intersection	4
JU1586	A	0.144643	0.855337	GATK-STRELKA_Intersection	4
QG2873	A	0.855345	0.855345	GATK-STRELKA_Intersection	4
MY772	A	0.142901	0.857079	GATK-STRELKA_Intersection	4
QG2854	A	0.85788	0.85788	GATK-STRELKA_Intersection	4
JU1580	A	1e-05	0.857956	GATK-STRELKA_Intersection	4
JU2566	A	0.132585	0.867387	GATK-STRELKA_Intersection	4
XZ1756	A	0.868084	0.868084	GATK-STRELKA_Intersection	4
NIC258	A	0.093023	0.875218	GATK-STRELKA_Intersection	4
JU2526	A	1e-05	0.877301	GATK-STRELKA_Intersection	4
ECA743	A	0.024809	0.877479	GATK-STRELKA_Intersection	4
CX11276	A	0.87982	0.87982	GATK-STRELKA_Intersection	4
ECA703	A	1e-05	0.880861	GATK-STRELKA_Intersection	4
QG2857	A	0.88238	0.88238	GATK-STRELKA_Intersection	4
ED3040	A	0.884362	0.884362	GATK-STRELKA_Intersection	4
NIC276	A	0.885856	0.885856	GATK-STRELKA_Intersection	4
LKC34	A	0.88703	0.88703	GATK-STRELKA_Intersection	4
JU311	A	0.112764	0.887216	GATK-STRELKA_Intersection	4
JU2878	A	0.890773	0.890773	GATK-STRELKA_Intersection	4
ECA701	A	1e-05	0.891493	GATK-STRELKA_Intersection	4
JU774	A	0.891775	0.891775	GATK-STRELKA_Intersection	4
KR314	A	0.89204	0.89204	GATK-STRELKA_Intersection	4
XZ1734	A	0.894644	0.894644	GATK-STRELKA_Intersection	4
ECA930	A	0.8972	0.8972	GATK-STRELKA_Intersection	4
JU1666	A	0.086357	0.900594	GATK-STRELKA_Intersection	4
ED3005	A	0.913987	0.913987	GATK-STRELKA_Intersection	4
JU2592	A	1e-05	0.914827	GATK-STRELKA_Intersection	4
NIC267	A	0.920356	0.920356	GATK-STRELKA_Intersection	4
JU3135	A	0.92156	0.92156	GATK-STRELKA_Intersection	4
JU2800	A	0.07693	0.923045	GATK-STRELKA_Intersection	4
ED3077	A	0.926976	0.926976	GATK-STRELKA_Intersection	4
EG4946	A	0.928352	0.928352	GATK-STRELKA_Intersection	4
JU2619	A	0.934799	0.934799	GATK-STRELKA_Intersection	4
NIC275	A	0.93541	0.93541	GATK-STRELKA_Intersection	4
JU1213	A	1e-05	0.938334	GATK-STRELKA_Intersection	4
ED3073	A	0.938862	0.938862	GATK-STRELKA_Intersection	4
JU1212	A	1e-05	0.939139	GATK-STRELKA_Intersection	4
MY2585	A	0.941018	0.941018	GATK-STRELKA_Intersection	4
JU830	A	0.942162	0.942162	GATK-STRELKA_Intersection	4
CB4855	A	0.942221	0.942221	GATK-STRELKA_Intersection	4
ECA807	A	1e-05	0.943308	GATK-STRELKA_Intersection	4
NIC513	A	0.944452	0.944452	GATK-STRELKA_Intersection	4
JU393	A	1.5e-05	0.944993	GATK-STRELKA_Intersection	4
DL238	A	1e-05	0.946226	GATK-STRELKA_Intersection	4
PB303	A	0.946465	0.946465	GATK-STRELKA_Intersection	4
CB4854	A	0.946924	0.946924	GATK-STRELKA_Intersection	4
JU1581	A	0.051831	0.948149	GATK-STRELKA_Intersection	4
NIC514	A	0.954533	0.954533	GATK-STRELKA_Intersection	4
ECA372	A	0.038092	0.961888	GATK-STRELKA_Intersection	4
ECA706	A	1e-05	0.96228	GATK-STRELKA_Intersection	4
ECA724	A	1e-05	0.962548	GATK-STRELKA_Intersection	4
XZ1513	A	1e-05	0.962952	GATK-STRELKA_Intersection	4
JU2572	A	0.035322	0.964649	GATK-STRELKA_Intersection	4
ECA252	A	0.034188	0.965782	GATK-STRELKA_Intersection	4
JU1792	A	0.033907	0.966072	GATK-STRELKA_Intersection	4
ECA189	A	0.032083	0.967897	GATK-STRELKA_Intersection	4
RC301	A	0.968504	0.968504	GATK-STRELKA_Intersection	4
XZ1672	A	0.969212	0.969212	GATK-STRELKA_Intersection	4
NIC231	A	0.974628	0.974628	GATK-STRELKA_Intersection	4
XZ2019	A	1e-05	0.975394	GATK-STRELKA_Intersection	4
WN2033	A	0.978787	0.978787	GATK-STRELKA_Intersection	4
JU3132	A	0.020157	0.979823	GATK-STRELKA_Intersection	4
QX1794	A	0.015603	0.984377	GATK-STRELKA_Intersection	4
QG536	A	0.984609	0.984609	GATK-STRELKA_Intersection	4
CX11271	A	0.986634	0.986634	GATK-STRELKA_Intersection	4
ECA593	A	0.01251	0.987467	GATK-STRELKA_Intersection	4
JU1246	A	1.1e-05	0.98812	GATK-STRELKA_Intersection	4
QX1793	A	0.003506	0.996474	GATK-STRELKA_Intersection	4
CB4851	A	1e-05	0.999961	GATK-STRELKA_Intersection	4
QG2818	A	0.999962	0.999962	GATK-STRELKA_Intersection	4
JU1088	A	0.999963	0.999963	GATK-STRELKA_Intersection	4
NIC1107	A	1e-05	0.999963	GATK-STRELKA_Intersection	4
ECA745	A	1e-05	0.999964	GATK-STRELKA_Intersection	4
ECA191	A	1.4e-05	0.999966	GATK-STRELKA_Intersection	4
ECA36	A	1.4e-05	0.999966	GATK-STRELKA_Intersection	4
ECA396	A	1e-05	0.999966	GATK-STRELKA_Intersection	4
JU2600	A	1.4e-05	0.999966	GATK-STRELKA_Intersection	4
JU2610	A	1.4e-05	0.999966	GATK-STRELKA_Intersection	4
ECA768	A	1.2e-05	0.999967	GATK-STRELKA_Intersection	4
JU2016	A	0.999967	0.999967	GATK-STRELKA_Intersection	4
JU1242	A	1e-05	0.999968	GATK-STRELKA_Intersection	4
ECA710	A	1e-05	0.999969	GATK-STRELKA_Intersection	4
QG2843	A	0.999969	0.999969	GATK-STRELKA_Intersection	4
BRC20067	A	0.99997	0.99997	GATK-STRELKA_Intersection	4
CB4853	A	0.99997	0.99997	GATK-STRELKA_Intersection	4
CB4856	A	1e-05	0.99997	GATK-STRELKA_Intersection	4
CB4857	A	0.99997	0.99997	GATK-STRELKA_Intersection	4
CB4858	A	0.99997	0.99997	GATK-STRELKA_Intersection	4
CB4932	A	1e-05	0.99997	GATK-STRELKA_Intersection	4
CX11292	A	0.99997	0.99997	GATK-STRELKA_Intersection	4
ECA347	A	1e-05	0.99997	GATK-STRELKA_Intersection	4
ECA363	A	1e-05	0.99997	GATK-STRELKA_Intersection	4
ECA705	A	1e-05	0.99997	GATK-STRELKA_Intersection	4
ECA712	A	1e-05	0.99997	GATK-STRELKA_Intersection	4
ECA722	A	1e-05	0.99997	GATK-STRELKA_Intersection	4
ECA723	A	1e-05	0.99997	GATK-STRELKA_Intersection	4
ECA730	A	1e-05	0.99997	GATK-STRELKA_Intersection	4
ECA732	A	1e-05	0.99997	GATK-STRELKA_Intersection	4
ECA733	A	1e-05	0.99997	GATK-STRELKA_Intersection	4
ECA738	A	1e-05	0.99997	GATK-STRELKA_Intersection	4
ECA740	A	1e-05	0.99997	GATK-STRELKA_Intersection	4
ECA741	A	1e-05	0.99997	GATK-STRELKA_Intersection	4
ECA742	A	1e-05	0.99997	GATK-STRELKA_Intersection	4
ECA744	A	1e-05	0.99997	GATK-STRELKA_Intersection	4
ECA746	A	1e-05	0.99997	GATK-STRELKA_Intersection	4
ECA760	A	1e-05	0.99997	GATK-STRELKA_Intersection	4
ECA777	A	1e-05	0.99997	GATK-STRELKA_Intersection	4
ECA778	A	1e-05	0.99997	GATK-STRELKA_Intersection	4
ECA812	A	1e-05	0.99997	GATK-STRELKA_Intersection	4
ED3011	A	0.99997	0.99997	GATK-STRELKA_Intersection	4
ED3048	A	0.99997	0.99997	GATK-STRELKA_Intersection	4
GXW1	A	0.99997	0.99997	GATK-STRELKA_Intersection	4
JU1172	A	0.99997	0.99997	GATK-STRELKA_Intersection	4
JU1568	A	1e-05	0.99997	GATK-STRELKA_Intersection	4
JU1934	A	1e-05	0.99997	GATK-STRELKA_Intersection	4
JU2141	A	1e-05	0.99997	GATK-STRELKA_Intersection	4
JU2250	A	1e-05	0.99997	GATK-STRELKA_Intersection	4
JU2257	A	1e-05	0.99997	GATK-STRELKA_Intersection	4
JU2466	A	0.99997	0.99997	GATK-STRELKA_Intersection	4
JU2565	A	1e-05	0.99997	GATK-STRELKA_Intersection	4
JU2570	A	1e-05	0.99997	GATK-STRELKA_Intersection	4
JU2575	A	1e-05	0.99997	GATK-STRELKA_Intersection	4
JU2578	A	0.99997	0.99997	GATK-STRELKA_Intersection	4
JU2825	A	1e-05	0.99997	GATK-STRELKA_Intersection	4
JU3140	A	1e-05	0.99997	GATK-STRELKA_Intersection	4
JU3141	A	1e-05	0.99997	GATK-STRELKA_Intersection	4
JU3226	A	1e-05	0.99997	GATK-STRELKA_Intersection	4
JU3282	A	0.99997	0.99997	GATK-STRELKA_Intersection	4
JU3291	A	1e-05	0.99997	GATK-STRELKA_Intersection	4
JU394	A	1e-05	0.99997	GATK-STRELKA_Intersection	4
JU397	A	1e-05	0.99997	GATK-STRELKA_Intersection	4
JU406	A	1e-05	0.99997	GATK-STRELKA_Intersection	4
JU792	A	1e-05	0.99997	GATK-STRELKA_Intersection	4
MY1	A	0.99997	0.99997	GATK-STRELKA_Intersection	4
MY2147	A	1e-05	0.99997	GATK-STRELKA_Intersection	4
MY23	A	1e-05	0.99997	GATK-STRELKA_Intersection	4
MY2573	A	1e-05	0.99997	GATK-STRELKA_Intersection	4
MY2693	A	0.99997	0.99997	GATK-STRELKA_Intersection	4
MY2713	A	0.99997	0.99997	GATK-STRELKA_Intersection	4
MY518	A	0.99997	0.99997	GATK-STRELKA_Intersection	4
MY679	A	0.99997	0.99997	GATK-STRELKA_Intersection	4
NIC1049	A	1e-05	0.99997	GATK-STRELKA_Intersection	4
QG2823	A	0.99997	0.99997	GATK-STRELKA_Intersection	4
QG2824	A	0.99997	0.99997	GATK-STRELKA_Intersection	4
QG2825	A	0.99997	0.99997	GATK-STRELKA_Intersection	4
QG2850	A	0.99997	0.99997	GATK-STRELKA_Intersection	4
QG2932	A	0.99997	0.99997	GATK-STRELKA_Intersection	4
QX1211	A	1e-05	0.99997	GATK-STRELKA_Intersection	4
WN2066	A	1e-05	0.99997	GATK-STRELKA_Intersection	4
XZ1514	A	1e-05	0.99997	GATK-STRELKA_Intersection	4
XZ1516	A	1e-05	0.99997	GATK-STRELKA_Intersection	4
NIC269	B	0.334439	0.353947	GATK-STRELKA_Intersection	4
NIC266	B	0.281738	0.42195	GATK-STRELKA_Intersection	4
WN2001	B	0.204333	0.427993	GATK-STRELKA_Intersection	4
JU778	B	0.416262	0.444398	GATK-STRELKA_Intersection	4
JU782	B	0.263747	0.462635	GATK-STRELKA_Intersection	4
EG4725	B	0.097734	0.487165	GATK-STRELKA_Intersection	4
JU1808	B	0.493252	0.493252	GATK-STRELKA_Intersection	4
NIC2	B	0.496743	0.503237	GATK-STRELKA_Intersection	4
JU3166	B	0.044741	0.503318	GATK-STRELKA_Intersection	4
JU2534	B	0.49644	0.50354	GATK-STRELKA_Intersection	4
NIC526	B	0.493884	0.505681	GATK-STRELKA_Intersection	4
CX11262	B	1e-05	0.506751	GATK-STRELKA_Intersection	4
MY920	B	0.48922	0.51076	GATK-STRELKA_Intersection	4
JU1440	B	0.484246	0.515734	GATK-STRELKA_Intersection	4
JU2001	B	0.515864	0.515864	GATK-STRELKA_Intersection	4
JU1400	B	0.283321	0.523536	GATK-STRELKA_Intersection	4
ECA928	B	1e-05	0.523975	GATK-STRELKA_Intersection	4
JU3169	B	0.01897	0.525583	GATK-STRELKA_Intersection	4
NIC1	B	0.472171	0.527809	GATK-STRELKA_Intersection	4
NIC166	B	0.528543	0.528543	GATK-STRELKA_Intersection	4
NIC3	B	0.471182	0.528798	GATK-STRELKA_Intersection	4
JU2586	B	0.17909	0.530305	GATK-STRELKA_Intersection	4
JU1652	B	0.537066	0.537066	GATK-STRELKA_Intersection	4
NIC207	B	0.539971	0.539971	GATK-STRELKA_Intersection	4
JU2907	B	0.540362	0.540362	GATK-STRELKA_Intersection	4
JU2879	B	1.8e-05	0.540461	GATK-STRELKA_Intersection	4
CX11264	B	1e-05	0.541327	GATK-STRELKA_Intersection	4
PX179	B	0.455333	0.544647	GATK-STRELKA_Intersection	4
QG2846	B	1e-05	0.544679	GATK-STRELKA_Intersection	4
EG4724	B	0.187191	0.546386	GATK-STRELKA_Intersection	4
JU3134	B	0.451793	0.548187	GATK-STRELKA_Intersection	4
NIC195	B	0.273675	0.553073	GATK-STRELKA_Intersection	4
WN2002	B	0.553482	0.553482	GATK-STRELKA_Intersection	4
NIC252	B	1e-05	0.553652	GATK-STRELKA_Intersection	4
NIC272	B	0.12943	0.553694	GATK-STRELKA_Intersection	4
JU2841	B	0.557558	0.557558	GATK-STRELKA_Intersection	4
JU3167	B	0.181381	0.561461	GATK-STRELKA_Intersection	4
MY18	B	0.257426	0.562074	GATK-STRELKA_Intersection	4
JU2593	B	0.194604	0.56269	GATK-STRELKA_Intersection	4
EG4349	B	0.232653	0.56491	GATK-STRELKA_Intersection	4
EG4347	B	0.43374	0.56624	GATK-STRELKA_Intersection	4
JU3128	B	0.568677	0.568677	GATK-STRELKA_Intersection	4
JU1395	B	0.43042	0.56956	GATK-STRELKA_Intersection	4
JU360	B	0.298043	0.571872	GATK-STRELKA_Intersection	4
QG2875	B	0.332218	0.575195	GATK-STRELKA_Intersection	4
NIC260	B	0.063931	0.575725	GATK-STRELKA_Intersection	4
NIC255	B	0.579126	0.579126	GATK-STRELKA_Intersection	4
XZ2018	B	0.415669	0.584311	GATK-STRELKA_Intersection	4
NIC268	B	1e-05	0.586078	GATK-STRELKA_Intersection	4
JU2838	B	0.007122	0.586112	GATK-STRELKA_Intersection	4
MY2212	B	0.412652	0.587328	GATK-STRELKA_Intersection	4
ECA369	B	0.130952	0.588914	GATK-STRELKA_Intersection	4
QG2827	B	0.067459	0.592132	GATK-STRELKA_Intersection	4
NIC236	B	0.406909	0.593071	GATK-STRELKA_Intersection	4
JU561	B	0.403834	0.596146	GATK-STRELKA_Intersection	4
NIC259	B	0.60179	0.60179	GATK-STRELKA_Intersection	4
QG2075	B	0.094383	0.602356	GATK-STRELKA_Intersection	4
JU2581	B	0.088557	0.603959	GATK-STRELKA_Intersection	4
JT11398	B	0.608435	0.608435	GATK-STRELKA_Intersection	4
JU310	B	0.610669	0.610669	GATK-STRELKA_Intersection	4
MY795	B	0.259606	0.610865	GATK-STRELKA_Intersection	4
NIC256	B	0.003996	0.611905	GATK-STRELKA_Intersection	4
JU258	B	0.29456	0.614148	GATK-STRELKA_Intersection	4
QW947	B	0.30211	0.61419	GATK-STRELKA_Intersection	4
JU323	B	0.384167	0.615813	GATK-STRELKA_Intersection	4
PB306	B	1e-05	0.618472	GATK-STRELKA_Intersection	4
JU2587	B	0.213612	0.623363	GATK-STRELKA_Intersection	4
NIC529	B	0.374479	0.625501	GATK-STRELKA_Intersection	4
XZ2020	B	0.095438	0.627833	GATK-STRELKA_Intersection	4
JU2811	B	1e-05	0.628062	GATK-STRELKA_Intersection	4
JU1530	B	0.634034	0.634034	GATK-STRELKA_Intersection	4
JU2829	B	0.087159	0.637484	GATK-STRELKA_Intersection	4
NIC523	B	0.192986	0.63829	GATK-STRELKA_Intersection	4
ECA923	B	1e-05	0.640898	GATK-STRELKA_Intersection	4
JU2478	B	0.358407	0.641573	GATK-STRELKA_Intersection	4
CB4852	B	0.355682	0.644298	GATK-STRELKA_Intersection	4
NIC522	B	0.646534	0.646534	GATK-STRELKA_Intersection	4
NIC511	B	0.647574	0.647574	GATK-STRELKA_Intersection	4
NIC271	B	0.058408	0.647915	GATK-STRELKA_Intersection	4
AB1	B	0.6494	0.6494	GATK-STRELKA_Intersection	4
